14	8	12	10	3	9
11	11	13	13	17	10
21	18	15	13	18	13
11	6	9	7	4	12
19	20	15	12	19	13
12	9	13	8	12	9
12	13	10	8	16	9
9	5	10	8	13	4
9	8	10	6	8	4
16	18	17	10	16	10
22	18	17	10	22	14
13	11	11	10	5	10
14	18	16	8	16	7
18	14	19	10	22	13
13	15	18	10	10	11
-99	-99	-99	-99	-99	-99
18	10	16	7	15	10
12	14	15	9	8	10
15	6	17	9	14	5
10	5	17	9	13	5
9	5	16	7	5	7
12	12	15	7	9	7
13	8	13	7	8	4
13	4	13	8	8	5
17	10	20	11	12	11
17	6	16	8	10	13
16	15	16	4	23	9
13	8	11	4	7	4
15	13	17	7	17	13
13	12	13	5	21	12
18	13	16	8	3	10
13	6	11	11	5	12
15	7	13	7	9	4
10	5	17	6	18	5
13	14	18	7	19	11
11	8	11	8	10	6
